countyID,countyName,state,size
01001,Autauga County,AL,604
01003,Baldwin County,AL,2027
01005,Barbour County,AL,905
01007,Bibb County,AL,626
01009,Blount County,AL,651
01011,Bullock County,AL,626
01013,Butler County,AL,778
01015,Calhoun County,AL,612
01017,Chambers County,AL,603
01019,Cherokee County,AL,600
01021,Chilton County,AL,701
01023,Choctaw County,AL,921
01025,Clarke County,AL,1253
01027,Clay County,AL,606
01029,Cleburne County,AL,561
01031,Coffee County,AL,681
01033,Colbert County,AL,624
01035,Conecuh County,AL,853
01037,Coosa County,AL,666
01039,Covington County,AL,1044
01041,Crenshaw County,AL,611
01043,Cullman County,AL,755
01045,Dale County,AL,563
01047,Dallas County,AL,993
01049,DeKalb County,AL,779
01051,Elmore County,AL,657
01053,Escambia County,AL,953
01055,Etowah County,AL,549
01057,Fayette County,AL,629
01059,Franklin County,AL,647
01061,Geneva County,AL,579
01063,Greene County,AL,660
01065,Hale County,AL,657
01067,Henry County,AL,568
01069,Houston County,AL,582
01071,Jackson County,AL,1127
01073,Jefferson County,AL,1124
01075,Lamar County,AL,606
01077,Lauderdale County,AL,719
01079,Lawrence County,AL,718
01081,Lee County,AL,616
01083,Limestone County,AL,607
01085,Lowndes County,AL,725
01087,Macon County,AL,613
01089,Madison County,AL,813
01091,Marengo County,AL,983
01093,Marion County,AL,744
01095,Marshall County,AL,623
01097,Mobile County,AL,1644
01099,Monroe County,AL,1035
01101,Montgomery County,AL,800
01103,Morgan County,AL,599
01105,Perry County,AL,724
01107,Pickens County,AL,890
01109,Pike County,AL,672
01111,Randolph County,AL,584
01113,Russell County,AL,647
01115,St. Clair County,AL,654
01117,Shelby County,AL,810
01119,Sumter County,AL,913
01121,Talladega County,AL,760
01123,Tallapoosa County,AL,766
01125,Tuscaloosa County,AL,1352
01127,Walker County,AL,805
01129,Washington County,AL,1089
01131,Wilcox County,AL,908
01133,Winston County,AL,632
02013,Aleutians East Borough,AK,15012
02016,Aleutians West Census Area,AK,14115
02020,Anchorage Municipality,AK,1962
02050,Bethel Census Area,AK,45955
02060,Bristol Bay Borough,AK,918
02068,Denali Borough,AK,0
02070,Dillingham Census Area,AK,20613
02090,Fairbanks North Star Borough,AK,7444
02100,Haines Borough,AK,2754
02105,Hoonah-Angoon Census Area,AK,17500
02110,Juneau City and Borough,AK,3081
02122,Kenai Peninsula Borough,AK,21664
02130,Ketchikan Gateway Borough,AK,1744
02150,Kodiak Island Borough,AK,11846
02158,Kusilvak Census Area,AK,19673
02164,Lake and Peninsula Borough,AK,29008
02170,Matanuska-Susitna Borough,AK,25232
02180,Nome Census Area,AK,28276
02185,North Slope Borough,AK,93823
02188,Northwest Arctic Borough,AK,40661
02195,Petersburg Borough,AK,8974
02198,Prince of Wales-Hyder Census Area,AK,12566
02220,Sitka City and Borough,AK,4850
02230,Skagway Municipality,AK,0
02240,Southeast Fairbanks Census Area,AK,26235
02261,Valdez-Cordova Census Area,AK,43516
02270,Wade Hampton Census Area,AK,19680
02275,Wrangell City and Borough,AK,0
02282,Yakutat City and Borough,AK,0
02290,Yukon-Koyukuk Census Area,AK,158996
04001,Apache County,AZ,11219
04003,Cochise County,AZ,6219
04005,Coconino County,AZ,18663
04007,Gila County,AZ,4796
04009,Graham County,AZ,4641
04011,Greenlee County,AZ,1849
04012,La Paz County,AZ,4514
04013,Maricopa County,AZ,9225
04015,Mohave County,AZ,13471
04017,Navajo County,AZ,9960
04019,Pima County,AZ,9189
04021,Pinal County,AZ,5374
04023,Santa Cruz County,AZ,1238
04025,Yavapai County,AZ,8128
04027,Yuma County,AZ,5519
05001,Arkansas County,AR,1034
05003,Ashley County,AR,939
05005,Baxter County,AR,587
05007,Benton County,AR,877
05009,Boone County,AR,602
05011,Bradley County,AR,654
05013,Calhoun County,AR,633
05015,Carroll County,AR,642
05017,Chicot County,AR,691
05019,Clark County,AR,883
05021,Clay County,AR,641
05023,Cleburne County,AR,592
05025,Cleveland County,AR,599
05027,Columbia County,AR,767
05029,Conway County,AR,567
05031,Craighead County,AR,713
05033,Crawford County,AR,604
05035,Crittenden County,AR,637
05037,Cross County,AR,622
05039,Dallas County,AR,668
05041,Desha County,AR,820
05043,Drew County,AR,836
05045,Faulkner County,AR,664
05047,Franklin County,AR,620
05049,Fulton County,AR,620
05051,Garland County,AR,735
05053,Grant County,AR,633
05055,Greene County,AR,580
05057,Hempstead County,AR,741
05059,Hot Spring County,AR,622
05061,Howard County,AR,595
05063,Independence County,AR,772
05065,Izard County,AR,584
05067,Jackson County,AR,642
05069,Jefferson County,AR,914
05071,Johnson County,AR,683
05073,Lafayette County,AR,545
05075,Lawrence County,AR,592
05077,Lee County,AR,620
05079,Lincoln County,AR,572
05081,Little River County,AR,565
05083,Logan County,AR,732
05085,Lonoke County,AR,802
05087,Madison County,AR,837
05089,Marion County,AR,640
05091,Miller County,AR,638
05093,Mississippi County,AR,920
05095,Monroe County,AR,621
05097,Montgomery County,AR,800
05099,Nevada County,AR,621
05101,Newton County,AR,823
05103,Ouachita County,AR,740
05105,Perry County,AR,561
05107,Phillips County,AR,727
05109,Pike County,AR,614
