countyID,countyName,state,size,2022 gdp (1000s),,,,,,,,
01001,Autauga County,AL,604," 1,929,264 ",,,,,AL,Autauga County,Autauga,"1,929,264"
01003,Baldwin County,AL,2027," 8,924,207 ",,,,,AL,Baldwin County,Baldwin,"8,924,207"
01005,Barbour County,AL,905," 745,349 ",,,,,AL,Barbour County,Barbour,"745,349"
01007,Bibb County,AL,626," 448,464 ",,,,,AL,Bibb County,Bibb,"448,464"
01009,Blount County,AL,651," 1,045,845 ",,,,,AL,Blount County,Blount,"1,045,845"
01011,Bullock County,AL,626," 247,403 ",,,,,AL,Bullock County,Bullock,"247,403"
01013,Butler County,AL,778," 652,201 ",,,,,AL,Butler County,Butler,"652,201"
01015,Calhoun County,AL,612," 4,608,415 ",,,,,AL,Calhoun County,Calhoun,"4,608,415"
01017,Chambers County,AL,603," 894,548 ",,,,,AL,Chambers County,Chambers,"894,548"
01019,Cherokee County,AL,600," 606,899 ",,,,,AL,Cherokee County,Cherokee,"606,899"
01021,Chilton County,AL,701," 1,077,591 ",,,,,AL,Chilton County,Chilton,"1,077,591"
01023,Choctaw County,AL,921," 611,338 ",,,,,AL,Choctaw County,Choctaw,"611,338"
01025,Clarke County,AL,1253," 817,215 ",,,,,AL,Clarke County,Clarke,"817,215"
01027,Clay County,AL,606," 433,948 ",,,,,AL,Clay County,Clay,"433,948"
01029,Cleburne County,AL,561," 332,525 ",,,,,AL,Cleburne County,Cleburne,"332,525"
01031,Coffee County,AL,681," 1,641,541 ",,,,,AL,Coffee County,Coffee,"1,641,541"
01033,Colbert County,AL,624," 2,635,868 ",,,,,AL,Colbert County,Colbert,"2,635,868"
01035,Conecuh County,AL,853," 350,708 ",,,,,AL,Conecuh County,Conecuh,"350,708"
01037,Coosa County,AL,666," 197,269 ",,,,,AL,Coosa County,Coosa,"197,269"
01039,Covington County,AL,1044," 1,229,523 ",,,,,AL,Covington County,Covington,"1,229,523"
01041,Crenshaw County,AL,611," 443,859 ",,,,,AL,Crenshaw County,Crenshaw,"443,859"
01043,Cullman County,AL,755," 3,112,513 ",,,,,AL,Cullman County,Cullman,"3,112,513"
01045,Dale County,AL,563," 2,884,753 ",,,,,AL,Dale County,Dale,"2,884,753"
01047,Dallas County,AL,993," 1,196,269 ",,,,,AL,Dallas County,Dallas,"1,196,269"
01049,DeKalb County,AL,779," 2,181,316 ",,,,,AL,DeKalb County,DeKalb,"2,181,316"
01051,Elmore County,AL,657," 2,064,691 ",,,,,AL,Elmore County,Elmore,"2,064,691"
01053,Escambia County,AL,953," 1,187,779 ",,,,,AL,Escambia County,Escambia,"1,187,779"
01055,Etowah County,AL,549," 2,924,073 ",,,,,AL,Etowah County,Etowah,"2,924,073"
01057,Fayette County,AL,629," 337,710 ",,,,,AL,Fayette County,Fayette,"337,710"
01059,Franklin County,AL,647," 1,029,838 ",,,,,AL,Franklin County,Franklin,"1,029,838"
01061,Geneva County,AL,579," 557,507 ",,,,,AL,Geneva County,Geneva,"557,507"
01063,Greene County,AL,660," 200,050 ",,,,,AL,Greene County,Greene,"200,050"
01065,Hale County,AL,657," 228,355 ",,,,,AL,Hale County,Hale,"228,355"
01067,Henry County,AL,568," 448,995 ",,,,,AL,Henry County,Henry,"448,995"
01069,Houston County,AL,582," 5,709,703 ",,,,,AL,Houston County,Houston,"5,709,703"
01071,Jackson County,AL,1127," 1,484,505 ",,,,,AL,Jackson County,Jackson,"1,484,505"
01073,Jefferson County,AL,1124," 48,581,447 ",,,,,AL,Jefferson County,Jefferson,"48,581,447"
01075,Lamar County,AL,606," 323,734 ",,,,,AL,Lamar County,Lamar,"323,734"
01077,Lauderdale County,AL,719," 2,770,761 ",,,,,AL,Lauderdale County,Lauderdale,"2,770,761"
01079,Lawrence County,AL,718," 582,451 ",,,,,AL,Lawrence County,Lawrence,"582,451"
01081,Lee County,AL,616," 6,860,502 ",,,,,AL,Lee County,Lee,"6,860,502"
01083,Limestone County,AL,607," 4,685,164 ",,,,,AL,Limestone County,Limestone,"4,685,164"
01085,Lowndes County,AL,725," 403,938 ",,,,,AL,Lowndes County,Lowndes,"403,938"
01087,Macon County,AL,613," 557,814 ",,,,,AL,Macon County,Macon,"557,814"
01089,Madison County,AL,813," 28,787,879 ",,,,,AL,Madison County,Madison,"28,787,879"
01091,Marengo County,AL,983," 799,526 ",,,,,AL,Marengo County,Marengo,"799,526"
01093,Marion County,AL,744," 938,817 ",,,,,AL,Marion County,Marion,"938,817"
01095,Marshall County,AL,623," 3,828,507 ",,,,,AL,Marshall County,Marshall,"3,828,507"
01097,Mobile County,AL,1644," 21,926,659 ",,,,,AL,Mobile County,Mobile,"21,926,659"
01099,Monroe County,AL,1035," 604,595 ",,,,,AL,Monroe County,Monroe,"604,595"
01101,Montgomery County,AL,800," 14,441,833 ",,,,,AL,Montgomery County,Montgomery,"14,441,833"
01103,Morgan County,AL,599," 6,014,993 ",,,,,AL,Morgan County,Morgan,"6,014,993"
01105,Perry County,AL,724," 165,321 ",,,,,AL,Perry County,Perry,"165,321"
01107,Pickens County,AL,890," 444,818 ",,,,,AL,Pickens County,Pickens,"444,818"
01109,Pike County,AL,672," 1,565,154 ",,,,,AL,Pike County,Pike,"1,565,154"
01111,Randolph County,AL,584," 512,986 ",,,,,AL,Randolph County,Randolph,"512,986"
01113,Russell County,AL,647," 1,613,861 ",,,,,AL,Russell County,Russell,"1,613,861"
01115,St. Clair County,AL,654," 2,110,781 ",,,,,AL,St. Clair County,St. Clair,"2,110,781"
01117,Shelby County,AL,810," 12,947,298 ",,,,,AL,Shelby County,Shelby,"12,947,298"
01119,Sumter County,AL,913," 304,877 ",,,,,AL,Sumter County,Sumter,"304,877"
01121,Talladega County,AL,760," 3,278,496 ",,,,,AL,Talladega County,Talladega,"3,278,496"
01123,Tallapoosa County,AL,766," 1,448,394 ",,,,,AL,Tallapoosa County,Tallapoosa,"1,448,394"
01125,Tuscaloosa County,AL,1352," 10,218,891 ",,,,,AL,Tuscaloosa County,Tuscaloosa,"10,218,891"
01127,Walker County,AL,805," 1,728,974 ",,,,,AL,Walker County,Walker,"1,728,974"
01129,Washington County,AL,1089," 863,463 ",,,,,AL,Washington County,Washington,"863,463"
01131,Wilcox County,AL,908," 314,907 ",,,,,AL,Wilcox County,Wilcox,"314,907"
01133,Winston County,AL,632," 813,897 ",,,,,AL,Winston County,Winston,"813,897"
02013,Aleutians East Borough,AK,15012," 290,811 ",,,,,, County,,
02016,Aleutians West Census Area,AK,14115," 690,977 ",,,,,,Alaska County,Alaska,"50,315,131"
02020,Anchorage Municipality,AK,1962," 22,928,246 ",,,,,AK,Aleutians East Borough,Aleutians East Borough,"290,811"
02050,Bethel Census Area,AK,45955," 677,999 ",,,,,AK,Aleutians West Census Area,Aleutians West Census Area,"690,977"
02060,Bristol Bay Borough,AK,918," 151,534 ",,,,,AK,Anchorage Municipality,Anchorage Municipality,"22,928,246"
02068,Denali Borough,AK,0," 282,233 ",,,,,AK,Bethel Census Area,Bethel Census Area,"677,999"
02070,Dillingham Census Area,AK,20613," 250,663 ",,,,,AK,Bristol Bay Borough,Bristol Bay Borough,"151,534"
02090,Fairbanks North Star Borough,AK,7444," 5,532,492 ",,,,,AK,Chugach Census Area0,Chugach Census Area1,"1,532,257"
