fips,year,TOT_POP,white,black,native,asian,pac_isl,two_plus_races,hispanic
1001,2021,59095,42817,12251,231,688,45,1097,1966
1003,2021,239294,198970,20024,1613,2632,126,4343,11586
1005,2021,24964,11310,11832,95,114,31,344,1238
1007,2021,22477,16535,4794,99,53,6,296,694
1009,2021,59041,50970,964,285,221,22,753,5826
1011,2021,10320,2197,7042,28,16,5,96,936
1013,2021,18884,9560,8435,75,258,7,222,327
1015,2021,115972,82472,24706,464,956,102,2357,4915
1017,2021,34541,18879,13849,92,302,12,398,1009
1019,2021,24996,22764,1028,163,124,1,434,482
1021,2021,45274,36157,4473,172,202,13,571,3686
1023,2021,12533,7070,5133,28,25,0,123,154
1025,2021,22760,11721,10235,114,99,6,251,334
1027,2021,14190,11410,1935,71,33,0,276,465
1029,2021,15103,13962,429,56,28,1,216,411
1031,2021,54174,37342,8984,596,883,91,1487,4791
1033,2021,57474,44419,9198,326,387,31,1176,1937
1035,2021,11328,5659,5101,62,29,3,162,312
1037,2021,10450,6907,3037,55,18,1,146,286
1039,2021,37524,31005,4695,247,185,2,620,770
1041,2021,13083,9141,3076,88,162,2,292,322
1043,2021,89496,81900,1156,509,585,48,1113,4185
1045,2021,49342,33045,10338,336,701,67,1259,3596
1047,2021,37619,9967,26554,85,201,11,358,443
1049,2021,71813,56734,1058,900,246,49,1486,11340
1051,2021,89304,65026,18998,334,660,68,1433,2785
1053,2021,36699,22048,11457,1312,102,20,788,972
1055,2021,103162,79331,16028,430,817,56,1721,4779
1057,2021,16148,13596,1809,62,78,0,265,338
1059,2021,32013,23955,1244,154,77,33,464,6086
1061,2021,26701,22102,2429,251,89,11,574,1245
1063,2021,7629,1325,6045,21,26,0,65,147
1065,2021,14754,5870,8461,37,50,5,101,230
1067,2021,17459,12225,4308,84,84,2,280,476
1069,2021,107458,70196,29442,445,1198,59,2201,3917
1071,2021,52773,46844,1775,699,266,33,1412,1744
1073,2021,667820,326636,290268,1331,12209,150,8696,28530
1075,2021,13689,11746,1389,31,14,1,221,287
1077,2021,94043,79171,9143,368,805,39,1603,2914
1079,2021,33090,25296,3401,1883,80,6,1555,869
1081,2021,177218,119367,40171,428,7300,95,2883,6974
1083,2021,107517,80756,14761,638,2020,75,2325,6942
1085,2021,9965,2489,7155,30,34,4,60,193
1087,2021,18895,3209,14949,47,88,2,212,388
1089,2021,395211,253775,95964,2617,10451,314,10469,21621
1091,2021,18996,8407,9738,39,59,8,184,561
1093,2021,29246,26648,1230,126,91,10,357,784
1095,2021,98228,77557,2518,595,627,134,1472,15325
1097,2021,413073,231129,149841,3703,8659,106,6835,12800
1099,2021,19648,10571,8063,253,89,4,338,330
1101,2021,227434,70771,136611,449,7692,82,3034,8795
1103,2021,123668,92006,15969,1001,784,78,2739,11091
