countyID,year,unemployment_rate,per_capita_income,bachelors_rate,median_age,poverty_rate,black,native,asian,pac_isl,two_plus_races,hispanic,white_not_hispanic,total_pop,gdp
01001,2019,3.5,29819,26.6,38.2,,,,,,,,,,
01003,2019,4,32626,31.9,43,,,,,,,,,,
01005,2019,9.4,18473,11.6,40.4,,,,,,,,,,
01007,2019,7,20778,10.4,40.9,,,,,,,,,,
01009,2019,3.1,24747,13.1,40.7,,,,,,,,,,
01011,2019,4.1,20877,12.1,40.2,,,,,,,,,,
01013,2019,7,21038,16.1,40.8,,,,,,,,,,
01015,2019,7.2,25345,18.5,39.6,,,,,,,,,,
01017,2019,4,22729,13.3,42,,,,,,,,,,
01019,2019,4.4,24301,12.8,46.5,,,,,,,,,,
01021,2019,6.5,24658,12.7,38.7,,,,,,,,,,
01023,2019,8.7,22308,11.9,46.3,,,,,,,,,,
01025,2019,11.6,22225,12.2,42.5,,,,,,,,,,
01027,2019,5.6,23519,10.6,43.3,,,,,,,,,,
01029,2019,5.4,23142,15.4,43.1,,,,,,,,,,
01031,2019,5.6,27806,22.8,39.3,,,,,,,,,,
01033,2019,4.1,25536,18.1,42.4,,,,,,,,,,
01035,2019,9.7,19769,12.8,44.8,,,,,,,,,,
01037,2019,2.3,23694,12.8,48.4,,,,,,,,,,
01039,2019,7.8,23687,15.3,43.3,,,,,,,,,,
01041,2019,3.4,24563,17.4,41.7,,,,,,,,,,
01043,2019,4.3,23468,13.9,40.8,,,,,,,,,,
01045,2019,7,24645,18.1,37.3,,,,,,,,,,
01047,2019,11.5,19612,14.7,39.6,,,,,,,,,,
01049,2019,3.7,21907,13,39.5,,,,,,,,,,
01051,2019,4,29052,25.1,38.7,,,,,,,,,,
01053,2019,11.5,19028,12.5,40,,,,,,,,,,
01055,2019,5.4,24883,17.8,41.4,,,,,,,,,,
01057,2019,6.6,22483,12.4,43.7,,,,,,,,,,
01059,2019,3.9,21641,14,38.6,,,,,,,,,,
01061,2019,5.2,21711,12.5,43.2,,,,,,,,,,
01063,2019,12.3,14884,10.1,40.9,,,,,,,,,,
01065,2019,10.7,21191,14.2,40.5,,,,,,,,,,
01067,2019,5.2,25276,17.1,44.4,,,,,,,,,,
01069,2019,6.2,27097,21.7,40.1,,,,,,,,,,
01071,2019,5,22596,14,43.1,,,,,,,,,,
01073,2019,6,32098,33.4,37.7,,,,,,,,,,
01075,2019,7.6,22636,11.9,44.8,,,,,,,,,,
01077,2019,4.4,28033,23.5,41,,,,,,,,,,
01079,2019,4.7,23450,12.6,42.4,,,,,,,,,,
01081,2019,4.6,27860,35.3,31.9,,,,,,,,,,
01083,2019,6,28411,25.7,39.7,,,,,,,,,,
01085,2019,9.3,20209,14.7,42,,,,,,,,,,
