objectid,state_cnty_fips,state_name,cnty_name, foresland_acres , forest land sq miles ,size,% forest land,,,,,
119,01001,Alabama,Autauga,"303,950",456,604,75%,,,,,
120,01003,Alabama,Baldwin,"725,622","1,088",2027,54%,,,,,
121,01005,Alabama,Barbour,"433,004",650,905,72%,,,,,
122,01007,Alabama,Bibb,"327,945",492,626,79%,,,,,
123,01009,Alabama,Blount,"234,243",351,651,54%,,,,,
124,01011,Alabama,Bullock,"327,279",491,626,78%,,,,,
125,01013,Alabama,Butler,"412,110",618,778,79%,,,,,
126,01015,Alabama,Calhoun,"197,013",296,612,48%,,,,,
127,01017,Alabama,Chambers,"309,419",464,603,77%,,,,,
128,01019,Alabama,Cherokee,"257,378",386,600,64%,,,,,
129,01021,Alabama,Chilton,"325,739",489,701,70%,,,,,
130,01023,Alabama,Choctaw,"536,188",804,921,87%,,,,,
131,01025,Alabama,Clarke,"741,127","1,112",1253,89%,,,,,
132,01027,Alabama,Clay,"310,252",465,606,77%,,,,,
133,01029,Alabama,Cleburne,"260,159",390,561,70%,,,,,
27,01031,Alabama,Coffee,"240,640",361,681,53%,,,,,
28,01033,Alabama,Colbert,"227,717",342,624,55%,,,,,
29,01035,Alabama,Conecuh,"446,503",670,853,79%,,,,,
30,01037,Alabama,Coosa,"381,417",572,666,86%,,,,,
31,01039,Alabama,Covington,"505,583",758,1044,73%,,,,,
32,01041,Alabama,Crenshaw,"317,662",476,611,78%,,,,,
33,01043,Alabama,Cullman,"240,260",360,755,48%,,,,,
34,01045,Alabama,Dale,"259,419",389,563,69%,,,,,
35,01047,Alabama,Dallas,"440,335",661,993,67%,,,,,
36,01049,Alabama,DeKalb,"183,899",276,779,35%,,,,,
37,01051,Alabama,Elmore,"244,168",366,657,56%,,,,,
38,01053,Alabama,Escambia,"476,497",715,953,75%,,,,,
39,01055,Alabama,Etowah,"187,158",281,549,51%,,,,,
40,01057,Alabama,Fayette,"341,135",512,629,81%,,,,,
1,01059,Alabama,Franklin,"297,564",446,647,69%,,,,,
2,01061,Alabama,Geneva,"212,417",319,579,55%,,,,,
3,01063,Alabama,Greene,"331,425",497,660,75%,,,,,
4,01065,Alabama,Hale,"284,041",426,657,65%,,,,,
5,01067,Alabama,Henry,"267,227",401,568,71%,,,,,
6,01069,Alabama,Houston,"178,042",267,582,46%,,,,,
7,01071,Alabama,Jackson,"451,207",677,1127,60%,,,,,
8,01073,Alabama,Jefferson,"391,934",588,1124,52%,,,,,
9,01075,Alabama,Lamar,"338,397",508,606,84%,,,,,
10,01077,Alabama,Lauderdale,"181,428",272,719,38%,,,,,
11,01079,Alabama,Lawrence,"230,952",346,718,48%,,,,,
41,06071,California,San Bernardino,"438,892",658,20106,3%,,,,,
42,06073,California,San Diego,"121,284",182,4526,4%,,,,,
43,06075,California,San Francisco,-1,0,232,0%,,,,,
12,01081,Alabama,Lee,"252,313",378,616,61%,,,,,
13,01083,Alabama,Limestone,"108,033",162,607,27%,,,,,
14,01085,Alabama,Lowndes,"313,962",471,725,65%,,,,,
15,01087,Alabama,Macon,"330,851",496,613,81%,,,,,
16,01089,Alabama,Madison,"203,911",306,813,38%,,,,,
17,01091,Alabama,Marengo,"475,391",713,983,73%,,,,,
21,01093,Alabama,Marion,"368,393",553,744,74%,,,,,
18,01095,Alabama,Marshall,"151,996",228,623,37%,,,,,
19,01097,Alabama,Mobile,"500,659",751,1644,46%,,,,,
20,01099,Alabama,Monroe,"573,091",860,1035,83%,,,,,
22,01101,Alabama,Montgomery,"253,333",380,800,48%,,,,,
23,01103,Alabama,Morgan,"184,475",277,599,46%,,,,,
56,04001,Arizona,Apache,"2,849,278","4,274",11219,38%,,,,,
57,04003,Arizona,Cochise,"1,013,033","1,520",6219,24%,,,,,
58,04005,Arizona,Coconino,"4,502,483","6,754",18663,36%,,,,,
59,04007,Arizona,Gila,"1,741,230","2,612",4796,54%,,,,,
60,04009,Arizona,Graham,"945,427","1,418",4641,31%,,,,,
61,04011,Arizona,Greenlee,"653,942",981,1849,53%,,,,,
62,04012,Arizona,La Paz,"4,649",7,4514,0%,,,,,
63,04013,Arizona,Maricopa,"75,412",113,9225,1%,,,,,
64,04015,Arizona,Mohave,"1,473,772","2,211",13471,16%,,,,,
65,04017,Arizona,Navajo,"2,153,821","3,231",9960,32%,,,,,
