ACRES,SQMILES,SE_PERCENT,FIPS,COUNTY,CODE,MEANING
13211.13203,20,58.3004599,1001,AL,0002,Cropland
11549.90484,17,71.96629336,1001,AL,0003,Pasture (improved through cultural practices)
7584.470924,11,66.75518009,1001,AL,0004,Idle farmland
4738.672542,7,99.62592958,1001,AL,0007,Maintained wildlife opening
13735.93259,21,59.52979202,1001,AL,0010,Developed
26680.80304,40,46.01720566,1001,AL,0011,"Cultural (business, residential, other intense human activity)"
1637.592331,2,74.15906342,1001,AL,0012,"Rights-of-way (improved road, railway, power line)"
298085.2625,447,13.60292914,1001,AL,0020,Forest
356.5373272,1,101.2954242,1001,AL,0023,Census water
11712.59428,18,71.51558417,1003,AL,0001,Agricultural land
60580.8406,91,30.54289472,1003,AL,0002,Cropland
61253.00697,92,30.3291415,1003,AL,0003,Pasture (improved through cultural practices)
5779.914358,9,101.8211411,1003,AL,0004,Idle farmland
17494.33461,26,58.2988681,1003,AL,0010,Developed
69172.2053,104,26.99826708,1003,AL,0011,"Cultural (business, residential, other intense human activity)"
50613.29047,76,29.99769579,1003,AL,0012,"Rights-of-way (improved road, railway, power line)"
21621.85863,32,50.92280369,1003,AL,0015,"Other (undeveloped beach, marsh, bog,snow, ice)"
4334.935768,7,101.8211411,1003,AL,0017,Wetland
731076.5367123983,"1,097",7.708842047,1003,AL,0020,Forest
4241.142972,6,73.92776889,1003,AL,0022,Noncensus water
254952.4710939011,382,13.02028864,1003,AL,0023,Census water
2732.834656,4,101.2954242,1005,AL,0001,Agricultural land
29147.00446,44,45.15179469,1005,AL,0002,Cropland
17869.34199,27,57.89771558,1005,AL,0003,Pasture (improved through cultural practices)
13574.481,20,63.63333775,1005,AL,0004,Idle farmland
5774.95242,9,102.011028,1005,AL,0010,Developed
32562.27111,49,41.29900205,1005,AL,0011,"Cultural (business, residential, other intense human activity)"
7581.4433,11,51.24545665,1005,AL,0012,"Rights-of-way (improved road, railway, power line)"
442719.7724,664,11.18964114,1005,AL,0020,Forest
23372.05204,35,50.5258309,1005,AL,0023,Census water
26725.83182,40,46.11374738,1007,AL,0003,Pasture (improved through cultural practices)
12855.81105,19,58.41765322,1007,AL,0011,"Cultural (business, residential, other intense human activity)"
9240.588657,14,43.20361114,1007,AL,0012,"Rights-of-way (improved road, railway, power line)"
320476.3676503797,481,12.86527591,1007,AL,0020,Forest
4203.071121,6,104.4643757,1007,AL,0022,Noncensus water
5604.094828,8,104.4643757,1007,AL,0023,Census water
28019.18674,42,43.50427346,1009,AL,0002,Cropland
87909.73145,132,25.21248496,1009,AL,0003,Pasture (improved through cultural practices)
6954.854745,10,87.47597134,1009,AL,0004,Idle farmland
1630.846738,2,100.4207518,1009,AL,0010,Developed
36924.8686,55,38.61266131,1009,AL,0011,"Cultural (business, residential, other intense human activity)"
11856.56854,18,62.72076235,1009,AL,0012,"Rights-of-way (improved road, railway, power line)"
240144.9035961726,360,14.88089345,1009,AL,0020,Forest
3719.677862,6,70.64078651,1009,AL,0022,Noncensus water
12123.55555,18,70.32924105,1011,AL,0001,Agricultural land
6047.194786,9,99.62592958,1011,AL,0002,Cropland
40696.9093,61,38.04496104,1011,AL,0003,Pasture (improved through cultural practices)
1444.36142,2,101.2954242,1011,AL,0007,Maintained wildlife opening
5774.95242,9,102.011028,1011,AL,0011,"Cultural (business, residential, other intense human activity)"
8220.745899,12,76.92592479,1011,AL,0012,"Rights-of-way (improved road, railway, power line)"
327903.6589893983,492,13.15216985,1011,AL,0020,Forest
6047.194786,9,99.62592958,1011,AL,0022,Noncensus water
29147.00446,44,45.15179469,1013,AL,0002,Cropland
30741.48316,46,43.25850195,1013,AL,0003,Pasture (improved through cultural practices)
4525.247877,7,73.41729389,1013,AL,0011,"Cultural (business, residential, other intense human activity)"
16429.6015,25,51.22364556,1013,AL,0012,"Rights-of-way (improved road, railway, power line)"
403147.7992638878,605,11.68082646,1013,AL,0020,Forest
2854.309707,4,70.31113998,1013,AL,0022,Noncensus water
41675.67786,63,37.75858751,1015,AL,0002,Cropland
44616.66918,67,35.3313775,1015,AL,0003,Pasture (improved through cultural practices)
11780.8416,18,71.54210929,1015,AL,0010,Developed
54259.92531,81,32.42145604,1015,AL,0011,"Cultural (business, residential, other intense human activity)"
11678.93853,18,63.13084336,1015,AL,0012,"Rights-of-way (improved road, railway, power line)"
194733.8695428854,292,16.77219755,1015,AL,0020,Forest
5757.094845,9,102.4304777,1015,AL,0023,Census water
11822.14721,18,71.27448323,1017,AL,0002,Cropland
18761.08366,28,53.7719849,1017,AL,0003,Pasture (improved through cultural practices)
4535.396089,7,99.62592958,1017,AL,0007,Maintained wildlife opening
14747.31767,22,60.56677076,1017,AL,0011,"Cultural (business, residential, other intense human activity)"
11353.03705,17,57.87347375,1017,AL,0012,"Rights-of-way (improved road, railway, power line)"
310098.0297288335,465,13.38876102,1017,AL,0020,Forest
2913.486503,4,70.92952052,1017,AL,0022,Noncensus water
4387.755696,7,101.2954242,1017,AL,0023,Census water
43884.70022,66,35.70081826,1019,AL,0002,Cropland
26879.74543,40,44.17024176,1019,AL,0003,Pasture (improved through cultural practices)
4516.348792,7,102.4304777,1019,AL,0007,Maintained wildlife opening
22560.72377,34,49.92618901,1019,AL,0011,"Cultural (business, residential, other intense human activity)"
10926.06472,16,63.37655914,1019,AL,0012,"Rights-of-way (improved road, railway, power line)"
253868.3962850542,381,14.61548222,1019,AL,0020,Forest
2068.753419,3,99.96588017,1019,AL,0022,Noncensus water
29244.14554,44,45.08273806,1019,AL,0023,Census water
1519.090192,2,99.29594186,1021,AL,0001,Agricultural land
4387.755696,7,101.2954242,1021,AL,0002,Cropland
49780.82525,75,32.75779459,1021,AL,0003,Pasture (improved through cultural practices)
5774.95242,9,102.011028,1021,AL,0010,Developed
43654.54453,65,36.06919221,1021,AL,0011,"Cultural (business, residential, other intense human activity)"
7215.403997,11,62.54304442,1021,AL,0012,"Rights-of-way (improved road, railway, power line)"
336649.1035653431,505,12.72796382,1021,AL,0020,Forest
1977.004739,3,99.29594186,1021,AL,0023,Census water
143.3305093,0,100.8886784,1023,AL,0002,Cropland
4453.039681,7,101.2784202,1023,AL,0003,Pasture (improved through cultural practices)
5318.922753,8,107.7937418,1023,AL,0004,Idle farmland
7517.826447,11,69.5114891,1023,AL,0007,Maintained wildlife opening
13687.45057,21,60.62920593,1023,AL,0011,"Cultural (business, residential, other intense human activity)"
25890.50063,39,34.48251354,1023,AL,0012,"Rights-of-way (improved road, railway, power line)"
532131.7818941307,798,9.73396687,1023,AL,0020,Forest
1248.313436,2,85.68723762,1023,AL,0022,Noncensus water
3309.987705,5,100.8886784,1025,AL,0001,Agricultural land
10637.84551,16,75.38863691,1025,AL,0002,Cropland
22209.6598,33,48.05147818,1025,AL,0003,Pasture (improved through cultural practices)
9689.368634,15,68.79478473,1025,AL,0007,Maintained wildlife opening
12255.281,18,67.83687729,1025,AL,0011,"Cultural (business, residential, other intense human activity)"
19369.55227,29,42.38308481,1025,AL,0012,"Rights-of-way (improved road, railway, power line)"
738678.5235372616,"1,108",8.046280646,1025,AL,0020,Forest
3677.885585,6,61.66579264,1025,AL,0022,Noncensus water
5318.922753,8,107.7937418,1025,AL,0023,Census water
12802.80979,19,62.79754241,1027,AL,0002,Cropland
24168.75535,36,49.907704,1027,AL,0003,Pasture (improved through cultural practices)
1505.936688,2,99.96588017,1027,AL,0004,Idle farmland
12239.51291,18,70.18840953,1027,AL,0010,Developed
10526.20684,16,62.7337538,1027,AL,0011,"Cultural (business, residential, other intense human activity)"
6404.366381,10,59.76881914,1027,AL,0012,"Rights-of-way (improved road, railway, power line)"
302292.7837042861,453,13.23502155,1027,AL,0020,Forest
11514.18969,17,72.18417708,1029,AL,0002,Cropland
18411.66051,28,57.15017364,1029,AL,0003,Pasture (improved through cultural practices)
10414.98057,16,70.851206,1029,AL,0007,Maintained wildlife opening
12195.89435,18,70.34523507,1029,AL,0011,"Cultural (business, residential, other intense human activity)"
22380.57958,34,45.17990675,1029,AL,0012,"Rights-of-way (improved road, railway, power line)"
257414.3831243359,386,14.35310558,1029,AL,0020,Forest
6215.76616,9,98.57134628,1029,AL,0022,Noncensus water
5774.95242,9,102.011028,1031,AL,0001,Agricultural land
92742.54747,139,24.17251338,1031,AL,0002,Cropland
24562.39491,37,48.01597632,1031,AL,0003,Pasture (improved through cultural practices)
6047.194786,9,99.62592958,1031,AL,0007,Maintained wildlife opening
35584.37585,53,39.71577047,1031,AL,0011,"Cultural (business, residential, other intense human activity)"
16638.45795,25,51.59071472,1031,AL,0012,"Rights-of-way (improved road, railway, power line)"
241102.9053,362,15.06558548,1031,AL,0020,Forest
6076.360767,9,99.29594186,1031,AL,0023,Census water
74243.84769,111,27.36343037,1033,AL,0002,Cropland
39434.77772,59,37.54654611,1033,AL,0003,Pasture (improved through cultural practices)
11795.10371,18,71.35518707,1033,AL,0010,Developed
25226.72423,38,47.27886375,1033,AL,0011,"Cultural (business, residential, other intense human activity)"
25305.83745,38,45.15524313,1033,AL,0012,"Rights-of-way (improved road, railway, power line)"
6058.346122,9,99.62576666,1033,AL,0017,Wetland
227482.5263137778,341,15.14708398,1033,AL,0020,Forest
12055.33701,18,70.38228184,1033,AL,0023,Census water
1731.175445,3,93.73701436,1035,AL,0001,Agricultural land
7050.098198,11,84.51921124,1035,AL,0002,Cropland
24597.74475,37,46.47629819,1035,AL,0003,Pasture (improved through cultural practices)
6996.33689,10,87.16688398,1035,AL,0007,Maintained wildlife opening
18894.64677,28,48.13486387,1035,AL,0011,"Cultural (business, residential, other intense human activity)"
21174.80435,32,37.44766841,1035,AL,0012,"Rights-of-way (improved road, railway, power line)"
448894.3392962627,673,10.68642111,1035,AL,0020,Forest
5937.386242,9,101.2784202,1035,AL,0022,Noncensus water
10529.47036,16,72.16741574,1037,AL,0002,Cropland
16232.51083,24,58.93809984,1037,AL,0003,Pasture (improved through cultural practices)
16661.05647,25,52.1283708,1037,AL,0011,"Cultural (business, residential, other intense human activity)"
3319.001002,5,47.30621784,1037,AL,0012,"Rights-of-way (improved road, railway, power line)"
4517.810065,7,99.96588017,1037,AL,0017,Wetland
375565.5399314432,563,11.94154537,1037,AL,0020,Forest
17494.31788,26,54.69207698,1037,AL,0023,Census water
8294.324042,12,77.43915753,1039,AL,0001,Agricultural land
31928.03972,48,41.63093525,1039,AL,0002,Cropland
46837.76479,70,33.89257708,1039,AL,0003,Pasture (improved through cultural practices)
5779.914358,9,101.8211411,1039,AL,0004,Idle farmland
5715.514423,9,62.45333447,1039,AL,0007,Maintained wildlife opening
1444.978589,2,101.8211411,1039,AL,0010,Developed
24786.24782,37,41.01424349,1039,AL,0011,"Cultural (business, residential, other intense human activity)"
19032.98343,29,44.23349605,1039,AL,0012,"Rights-of-way (improved road, railway, power line)"
895.074292,1,98.99927562,1039,AL,0017,Wetland
489156.5910172732,734,9.906310875,1039,AL,0020,Forest
5871.589489,9,101.1287676,1039,AL,0022,Noncensus water
8824.94403,13,74.92766707,1039,AL,0023,Census water
10570.198,16,70.28102155,1041,AL,0001,Agricultural land
6047.194786,9,99.62592958,1041,AL,0002,Cropland
30041.68453,45,42.83098596,1041,AL,0003,Pasture (improved through cultural practices)
2354.744673,4,101.2954242,1041,AL,0004,Idle farmland
16197.77825,24,54.07450258,1041,AL,0011,"Cultural (business, residential, other intense human activity)"
7717.761297,12,68.3170774,1041,AL,0012,"Rights-of-way (improved road, railway, power line)"
316087.5660094343,474,13.17560825,1041,AL,0020,Forest
1963.01088,3,80.02550434,1041,AL,0022,Noncensus water
79315.79408,119,26.60497793,1043,AL,0002,Cropland
79069.84331,119,25.2604588,1043,AL,0003,Pasture (improved through cultural practices)
14442.64499,22,59.01572199,1043,AL,0004,Idle farmland
52846.7615,79,31.73323273,1043,AL,0011,"Cultural (business, residential, other intense human activity)"
4978.698163,7,98.57134628,1043,AL,0012,"Rights-of-way (improved road, railway, power line)"
10242.19099,15,72.44817572,1043,AL,0015,"Other (undeveloped beach, marsh, bog,snow, ice)"
231610.2572900095,347,14.81616367,1043,AL,0020,Forest
1894.070787,3,82.04122369,1043,AL,0022,Noncensus water
15832.01082,24,59.23065713,1043,AL,0023,Census water
6047.194786,9,99.62592958,1045,AL,0001,Agricultural land
27198.51108,41,44.58634211,1045,AL,0002,Cropland
24106.28302,36,49.08018191,1045,AL,0003,Pasture (improved through cultural practices)
3023.597393,5,99.62592958,1045,AL,0007,Maintained wildlife opening
2524.563837,4,99.29594186,1045,AL,0010,Developed
14566.84456,22,59.37888491,1045,AL,0011,"Cultural (business, residential, other intense human activity)"
12519.10427,19,53.29704383,1045,AL,0012,"Rights-of-way (improved road, railway, power line)"
264852.8989621893,397,14.34663523,1045,AL,0020,Forest
4478.26047,7,101.2954242,1045,AL,0023,Census water
4934.651416,7,90.72623366,1047,AL,0001,Agricultural land
57632.91403,86,30.67149903,1047,AL,0002,Cropland
87732.65114,132,25.16782046,1047,AL,0003,Pasture (improved through cultural practices)
4014.774949,6,99.62592958,1047,AL,0007,Maintained wildlife opening
2925.170464,4,101.2954242,1047,AL,0010,Developed
25958.71235,39,45.6966395,1047,AL,0011,"Cultural (business, residential, other intense human activity)"
11651.42564,17,64.23228796,1047,AL,0012,"Rights-of-way (improved road, railway, power line)"
438380.9259892682,658,11.0366381,1047,AL,0020,Forest
4921.602869,7,51.67190225,1047,AL,0022,Noncensus water
18105.13516,27,54.40551572,1047,AL,0023,Census water
3862.67052,6,102.1183109,1049,AL,0001,Agricultural land
50092.33634,75,33.64914877,1049,AL,0002,Cropland
141090.6699,212,19.7184751,1049,AL,0003,Pasture (improved through cultural practices)
18398.32426,28,56.38806323,1049,AL,0004,Idle farmland
2919.232254,4,99.62576666,1049,AL,0010,Developed
