ESTIMATE,GRP1,GRP2,PLOT_COUNT,SE,SE_PERCENT,VARIANCE
13211.1320296225,`0001 01001 AL Autauga,`0002 Cropland,4,7702.1507313599,58.3004599007,59323125.888588056
11549.904839192,`0001 01001 AL Autauga,`0003  Pasture (improved through cultural practices),2,8312.0383989269,71.9662933561,69089982.34523554
7584.4709238621,`0001 01001 AL Autauga,`0004 Idle farmland,3,5063.0272239476,66.755180088,25634244.67043416
4738.6725420315,`0001 01001 AL Autauga,`0007 Maintained wildlife opening,1,4720.9465697683,99.6259295804,22287336.51460753
13735.9325893833,`0001 01001 AL Autauga,`0010 Developed,3,8176.9721024302,59.5297920197,66862872.76392253
26680.8030386128,`0001 01001 AL Autauga,"`0011 Cultural (business, residential, other intense human activity)",5,12277.7600064015,46.0172056614,150743390.77479127
1637.5923305413,`0001 01001 AL Autauga,"`0012 Rights-of-way (improved road, railway, power line)",2,1214.4231349775,74.1590634206,1474823.550768476
298085.262463465,`0001 01001 AL Autauga,`0020 Forest (presnfcd is null),55,40548.3270226165,13.6029291376,1644166824.333055
356.5373271797,`0001 01001 AL Autauga,`0023 Census water (presnfcd is null),1,361.1559981297,101.2954242369,130433.654985051
11712.5942798282,`0002 01003 AL Baldwin,`0001 Agricultural land,2,8376.3302201922,71.5155841658,70162907.95770514
60580.8405974243,`0002 01003 AL Baldwin,`0002 Cropland,11,18503.142365355,30.542894722,342366277.39259577
61253.0069692126,`0002 01003 AL Baldwin,`0003  Pasture (improved through cultural practices),11,18577.5111595503,30.3291415047,345123920.8832155
5779.9143575337,`0002 01003 AL Baldwin,`0004 Idle farmland,1,5885.1747529537,101.8211410915,34635281.87280315
17494.3346073802,`0002 01003 AL Baldwin,`0010 Developed,4,10198.999058153,58.2988681024,104019581.78820483
69172.2052971367,`0002 01003 AL Baldwin,"`0011 Cultural (business, residential, other intense human activity)",19,18675.2967333715,26.9982670831,348766708.0794761
50613.2904714973,`0002 01003 AL Baldwin,"`0012 Rights-of-way (improved road, railway, power line)",15,15182.8209027351,29.9976957856,230518050.56452858
